dish_id,,calories,mass,fat,carb,protein,,,,
dish_1561662216,,1.558519591,193,0.064183881,0.146208756,0.096549067,,,,
dish_1562688426,,1.563295364,88,0.093818182,0.058977273,0.117011364,,,,
dish_1561662054,,1.436434185,292,0.081637839,0.09024501,0.088734908,,,,
dish_1562008979,,1.320471193,290,0.076636703,0.035081276,0.121880645,,,,
dish_1560455030,,0.199902913,103,0.001436893,0.044902913,0.009281553,,,,
dish_1558372433,,0.520000007,143,0.002,0.003,0.14,,,,
dish_1563379132,,1.950000025,119,0.12,0.12,0.089000008,,,,
dish_1565640549,,0.327215129,139,0.011283964,0.050675439,0.019003439,,,,
dish_1563207364,,1.141217672,271,0.050826568,0.113125461,0.055387454,,,,
dish_1561575474,,0.656057016,183,0.027137257,0.095151617,0.016341153,,,,
dish_1550795690,,0.519999962,131,0.002,0.14,0.003,,,,
dish_1563216717,,0.74098794,332,0.016977461,0.049050548,0.099604548,,,,
dish_1565972591,,1.599999975,122,0.1,0.03,0.14,,,,
dish_1568649312,,0.569999987,78,0.003,0.14,0.007,,,,
dish_1550876012,,1.224734319,207,0.021526565,0.060193237,0.186512087,,,,
dish_1551565034,,0.41,19,0.002,0.1,0.009,,,,
dish_1550860747,,0.5,79,0.001,0.13,0.005,,,,
dish_1566245398,,2.201545117,230,0.135582209,0.018514009,0.213144335,,,,
dish_1563381680,,5.409999833,6,0.42,0.014,0.37,,,,
dish_1562183096,,0.433568211,95,0.027063611,0.034529053,0.029526,,,,
dish_1563476551,,1.488521484,750,0.068551589,0.099607951,0.113997976,,,,
dish_1559844951,,2.24865573,122,0.146770492,0.186819672,0.080196721,,,,
dish_1550778583,,0.769999943,88,0.001,0.17,0.02,,,,
dish_1562963704,,1.385711478,479,0.059338735,0.137901528,0.074993238,,,,
dish_1566417398,,1.236793348,46,0.116475261,0.045392217,0.017231457,,,,
dish_1561739238,,1.066887167,257,0.03807393,0.146136183,0.036828794,,,,
dish_1562611680,,1.276910066,256,0.075827336,0.096777402,0.062609516,,,,
dish_1568144828,,0.504922217,152,0.027424559,0.068221658,0.008749053,,,,
dish_1550708440,,0.5,75,0.001,0.13,0.005,,,,
dish_1551307090,,3.299038519,52,0.224730769,0.220769231,0.118307692,,,,
dish_1564432238,,1.445675997,315,0.073506921,0.110650089,0.089126581,,,,
dish_1563468327,,0.72854254,483,0.02022489,0.119037921,0.025051526,,,,
dish_1562862493,,1.480000052,134,0.11,0.016,0.100000007,,,,
dish_1558549008,,0.180000009,115,0.002,0.039,0.009,,,,
